0.0580,176.1400,6.5820,2.0510,0.0290,99.9640,2.4640,0.8230,0.0290,20892.6055,473.1120,20.6010,0.0300,18874.0840,395.0790,38.2610
0.0590,176.1390,6.5830,2.0470,0.0290,99.9580,2.4640,0.8220,0.0290,20892.5977,473.1300,20.6160,0.0290,18874.0938,395.1030,38.2630
0.0580,176.1380,6.5830,2.0530,0.0270,99.9590,2.4660,0.8250,0.0290,20892.6074,473.0750,20.6070,0.0280,18874.0859,395.0600,38.2650
0.0630,176.1400,6.5850,2.0500,0.0280,99.9600,2.4630,0.8260,0.0280,20892.5977,473.0290,20.6090,0.0300,18874.0840,395.0920,38.2580
0.0590,176.1380,6.5800,2.0540,0.0280,99.9610,2.4660,0.8260,0.0270,20892.6055,456.0550,20.6230,0.0290,18874.0820,393.3460,38.2650
0.0620,176.1420,6.5840,2.0500,0.0280,99.9610,2.4690,0.8220,0.0260,20892.6055,456.0290,20.6100,0.0290,18874.0801,393.3290,38.2620
0.0600,176.1420,6.5790,2.0520,0.0280,99.9570,2.4680,0.8300,0.0280,20892.5977,456.0680,20.6080,0.0280,18874.0840,393.1700,38.2690
0.0620,176.1410,6.5850,2.0530,0.0260,99.9570,2.4640,0.8240,0.0300,20892.6172,473.0860,20.6260,0.0310,18874.0898,393.1810,38.2690
0.0610,176.1410,6.5830,2.0550,0.0300,99.9560,2.4650,0.8240,0.0310,20892.6016,456.0600,20.6280,0.0290,18874.0859,393.0970,38.2740
0.0590,176.1390,6.5840,2.0520,0.0270,99.9530,2.4650,0.8240,0.0300,20892.6094,455.9570,20.6200,0.0300,18874.0938,393.1520,38.2670
0.0600,176.1420,6.5850,2.0520,0.0300,99.9580,2.4630,0.8280,0.0320,20892.6133,456.0110,20.6190,0.0300,18874.0938,393.1410,38.2710
0.0600,176.1300,6.5800,2.0510,0.0240,99.9550,2.4650,0.8250,0.0230,20892.6094,456.0630,20.6090,0.0310,18874.0898,393.1310,38.2680
0.0600,176.1400,6.5820,2.0480,0.0300,99.9560,2.4650,0.8260,0.0280,20892.6055,456.0420,20.6110,0.0310,18874.0840,393.1300,38.2760
0.0640,176.1350,6.5800,2.0500,0.0290,99.9590,2.4650,0.8210,0.0280,20892.6035,455.9900,20.6260,0.0300,18874.0840,393.1150,38.2700
0.0590,176.1430,6.5850,2.0530,0.0310,99.9570,2.4670,0.8240,0.0300,20892.6172,456.0110,20.6090,0.0320,18874.0840,393.1940,38.2640
0.0580,176.1360,6.5810,2.0510,0.0280,99.9580,2.4680,0.8250,0.0320,20892.6055,455.9670,20.6090,0.0250,18874.0938,393.1070,38.2730
0.0600,176.1370,6.5840,2.0460,0.0300,99.9600,2.4650,0.8280,0.0310,20892.5977,456.0860,20.6220,0.0280,18874.0898,393.1180,38.2670
0.0600,176.1410,6.5820,2.0540,0.0290,99.9530,2.4670,0.8220,0.0300,20892.6035,456.0490,20.6290,0.0290,18874.0898,393.1750,38.2730
0.0610,176.1380,6.5850,2.0520,0.0280,99.9560,2.4620,0.8250,0.0270,20892.6035,456.0200,20.6140,0.0300,18874.0801,393.1910,38.2750
0.0610,176.1450,6.5790,2.0530,0.0280,99.9570,2.4650,0.8250,0.0280,20892.6016,456.1320,20.6180,0.0310,18874.0898,393.1320,38.2700
